,Video File,Cluster -1,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50,Cluster 51,Cluster 52,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 57,Cluster 58,Cluster 59,Cluster 60,Cluster 61,Cluster 62,Cluster 63,Cluster 64,Cluster 65
0,10BYmidfd_antmovie200928223820,0.8769907477627787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026543303503716063,0.0,0.0,0.022144698923100257,0.0,0.0,0.0,0.0,0.0,0.0009100561201274078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018504474442590627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015167602002123465,0.0,0.0,0.0,0.0,0.0,0.0,0.025633247383588655,0.0,0.0,0.0,0.004853632640679509,0.024268163203397544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fr_no_antennae_antmovie200927211714,0.9919148936170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010334346504559271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004984802431610942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019452887537993921,0.0,0.0,0.0,0.00012158054711246201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,00AAmidfr_antmovie200926195039,0.6379978850898836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031018681706027493,0.0,0.0,0.040535777229467745,0.0,0.0,0.0,0.0,0.0,0.013218188227000353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021854071201973916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18805075784279168,0.0,0.011808248149453648,0.0,0.0,0.0,0.0,0.0,0.008988367994360239,0.0,0.0,0.0,0.00035248501938667606,0.0,0.0,0.010574550581600282,0.0,0.0,0.0,0.03560098695805428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,04WTmidfr_antmovie201010202950,0.7058156197754956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04024361117745402,0.0,0.0,0.07582994984475758,0.0,0.0,0.0,0.0,0.0,0.0005970862192500597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023883448770002386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038213518032003822,0.0,0.007881538094100788,0.0,0.00011941724385001195,0.0,0.0,0.05284213040363028,0.0,0.0,0.0,0.035944590398853594,0.07451636016240745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,06WRmajfd_antmovie200929211318,0.2554993530172921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0877543818374309,0.0,0.0,0.1526879190683449,0.0,0.0,0.0,0.0,0.0,0.024467709681213975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005881660981061052,0.02058581343371368,0.0,0.0,0.0,0.0,0.0,0.0,0.007293259616515704,0.0,0.0,0.0,0.019527114457122692,0.0,0.0,0.0,0.010234090107046229,0.0,0.0003528996588636631,0.0,0.005293494882954946,0.0,0.0,0.16056934478296672,0.0,0.0,0.0,0.06975649923538407,0.18538995412304435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,04Ydmidfd_antmovie200924204640,0.6374108612177729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04754068385445237,0.0,0.0,0.0005485463521667581,0.0,0.0,0.0,0.0,0.0,0.16602669592247213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004936917169500823,0.0,0.0,0.0,0.0,0.0,0.07259096727006766,0.0,0.058145913329676356,0.0,0.004022673249222892,0.0,0.0,0.0005485463521667581,0.0,0.0,0.0,0.008228195282501372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09dWminfr_antmovie200926223927,0.9996939462569627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.121074860745546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001836322458223664,0.0,0.0,0.0,6.121074860745546e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01BWmidfd_antmovie200929190558,0.876173954656936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381826882813902,0.0,0.0,0.03900221331578633,0.0,0.0,0.0,0.0,0.003260154333911587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026260692708021775,0.0,0.0,0.0,0.00391816713525154,0.0375665490219537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,07YTminfd_antmovie200928211544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15RTmidfd_antmovie200927234753,0.613199162868037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06570912531177432,0.0,0.0,0.0980189788136808,0.0,0.0,0.0,0.0,0.0,0.019007482583641523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018348097818296494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010177460508586337,0.0,0.01327370201542387,0.0,0.0027808835755855623,0.0,0.0,0.06120810756572346,0.0,0.0,0.0,0.05639173188842063,0.058398555087296806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
