,Video File,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,caste
0,10BYmidfd_antmovie200928223820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2157829839704069,0.0,0.0,0.18002466091245375,0.0,0.0,0.0,0.0,0.0,0.007398273736128238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504315659679408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012330456226880395,0.0,0.0,0.0,0.0,0.0,0.0,0.20838471023427868,0.0,0.0,0.0,0.03945745992601726,0.19728729963008632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,00AAmidfr_antmovie200926195039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08568646543330087,0.0,0.0,0.11197663096397274,0.0,0.0,0.0,0.0,0.0,0.0365141187925998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060370009737098336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5194741966893865,0.0,0.03261927945472249,0.0,0.0,0.0,0.0,0.0,0.024829600778967863,0.0,0.0,0.0,0.0009737098344693283,0.0,0.0,0.029211295034079845,0.0,0.0,0.0,0.09834469328140216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2,04WTmidfr_antmovie201010202950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13679723969961438,0.0,0.0,0.25776334483458496,0.0,0.0,0.0,0.0,0.0,0.0020296326364927946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00811853054597118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012989648873553887,0.0,0.02679115080170489,0.0,0.00040592652729855896,0.0,0.0,0.17962248832961233,0.0,0.0,0.0,0.12218388471686625,0.2532981530343008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,06WRmajfd_antmovie200929211318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11787012166218992,0.0,0.0,0.2050876915784484,0.0,0.0,0.0,0.0,0.0,0.03286459156264813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007900142202559646,0.027650497708958763,0.0,0.0,0.0,0.0,0.0,0.0,0.009796176331173962,0.0,0.0,0.0,0.026228472112498024,0.0,0.0,0.0,0.013746247432453784,0.0,0.0004740085321535788,0.0,0.007110127982303681,0.0,0.0,0.21567388212987834,0.0,0.0,0.0,0.0936956865223574,0.24901248222468006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4,04Ydmidfd_antmovie200924204640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13111447302067575,0.0,0.0,0.0015128593040847204,0.0,0.0,0.0,0.0,0.0,0.4578920827029753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01361573373676248,0.0,0.0,0.0,0.0,0.0,0.200201714573878,0.0,0.16036308623298035,0.0,0.011094301563287948,0.0,0.0,0.0015128593040847204,0.0,0.0,0.0,0.0226928895612708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5,09dWminfr_antmovie200926223927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,01BWmidfd_antmovie200929190558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11159420289855072,0.0,0.0,0.314975845410628,0.0,0.0,0.0,0.0,0.026328502415458938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21207729468599035,0.0,0.0,0.0,0.03164251207729469,0.3033816425120773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7,15RTmidfd_antmovie200927234753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16987844648680703,0.0,0.0,0.25340942780907205,0.0,0.0,0.0,0.0,0.0,0.04914023124814705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047435517343611035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026311888526534242,0.0,0.034316632078268614,0.0,0.0071894455973910455,0.0,0.0,0.15824192113845242,0.0,0.0,0.0,0.14579009783575453,0.15097835754521194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8,13RGmajfd_antmovie200927225925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16659421864811996,0.0,0.0,0.22962399478374265,0.0,0.0,0.0,0.0,0.0,0.0124972831993045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006031297544012171,0.0,0.0,0.0,0.0,0.0,0.0,0.021897413605737884,0.029341447511410563,0.0,0.003912193001521408,0.0,0.0,0.0,0.0,0.0,0.01977830906324712,0.0,0.01597478808954575,0.0,0.004890241251901761,0.0,0.0,0.16827863507933058,0.0,0.0,0.0,0.316670289067594,0.004509889154531622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,03BPmajfd_antmovie200929202854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1202767429483768,0.0,0.0,0.21899946780202234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002927088877062267,0.0,0.0,0.0,0.0,0.0,0.0,0.2142096860031932,0.0,0.0,0.0,0.08940926024481106,0.35417775412453434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
